angleX,angleY,angleZ,Time,
6.1483154,-5.0613403,5.7460785,22:51:51,
6.4691315,-4.8362885,5.530609,22:51:51,
6.7803802,-4.5250397,5.6742554,22:51:52,
6.033386,-4.7692566,5.865799,22:51:52,
6.2392883,-4.280838,6.248871,22:51:52,
5.2002106,-4.6543274,6.9240265,22:51:52,
5.7604523,-6.665451,8.686157,22:51:53,
7.0102234,-4.9559937,7.7093353,22:51:53,
3.691864,-4.4149017,7.3693542,22:51:53,
4.515457,-4.3861847,6.79953,22:51:53,
3.485962,-4.218582,7.6853943,22:51:54,
6.052536,-4.261673,6.732498,22:51:54,
6.009445,-4.0653534,6.4020996,22:51:54,
6.574478,-3.897766,5.6024323,22:51:54,
6.6989746,-3.830719,5.793976,22:51:55,
6.7181244,-4.007889,5.90889,22:51:55,
7.019806,-3.605667,5.793976,22:51:55,
6.9671326,-3.5673676,5.841858,22:51:55,
7.0102234,-3.667923,5.8083344,22:51:56,
6.7229156,-3.7636871,5.87059,22:51:56,
6.775589,-4.0414124,5.851425,22:51:56,
6.6750336,-3.9552155,5.8993073,22:51:56,
6.909668,-3.7541046,5.7891846,22:51:57,
6.842636,-3.830719,5.865799,22:51:57,
6.81868,-3.6391907,5.851425,22:51:57,
6.9671326,-3.7445374,5.7173615,22:51:57,
7.2161255,-3.7014313,5.645523,22:51:58,
6.62236,-3.5960846,5.937622,22:51:58,
7.1443024,-3.423706,5.5928497,22:51:58,
6.574478,-3.85466,5.88974,22:51:58,
6.5601196,-3.7493134,5.9040985,22:51:59,
6.7803802,-3.533844,5.612015,22:51:59,
6.9240265,-3.643982,5.7460785,22:51:59,
6.9384003,-3.806778,5.841858,22:51:59,
6.885727,-3.69664,5.736511,22:52:00,
6.79953,-3.7205963,5.827484,22:52:00,
6.6894073,-3.605667,6.2392883,22:52:00,
6.9192505,-3.6296082,6.2680206,22:52:00,
6.3494263,-3.6583405,6.5074463,22:52:01,
6.363785,-3.782837,6.435608,22:52:01,
6.526596,-3.5960846,6.272812,22:52:01,
6.6127777,-3.5242615,6.2440796,22:52:01,
6.459549,-3.7349548,6.272812,22:52:02,
6.684616,-3.605667,6.1530914,22:52:02,
6.6941833,-3.6296082,6.1243744,22:52:02,
6.665451,-3.557785,6.1914062,22:52:02,
6.5888367,-3.5290527,6.1770477,22:52:03,
6.823471,-3.4667969,6.138733,22:52:03,
6.775589,-3.5146942,6.1291504,22:52:03,
6.7468567,-3.5386353,6.0860596,22:52:03,
7.0628967,-3.5913086,5.9472046,22:52:04,
6.9384003,-3.4763794,5.9232483,22:52:04,
6.9192505,-3.4811707,5.985504,22:52:04,
6.9000854,-3.5051117,5.913681,22:52:04,
6.8522034,-3.4524384,6.004654,22:52:05,
6.81868,-3.5529938,5.9759216,22:52:05,
6.794739,-3.6296082,6.0381775,22:52:05,
6.9910736,-3.4332886,5.9280396,22:52:05,
6.9671326,-3.3901825,5.956772,22:52:06,
7.139511,-3.289627,5.7843933,22:52:06,
6.995865,-1.790863,6.4739227,22:52:06,
3.7493134,-7.5800476,4.984726,22:52:06,
3.7205963,-7.508209,3.4667969,22:52:07,
1.4125824,-8.839386,-0.46447754,22:52:07,
1.6807251,-9.639053,5.4300537,22:52:07,
2.8778381,-9.797073,3.1699219,22:52:08,
4.534622,-6.4260406,2.8491058,22:52:08,
5.185837,-1.8291626,1.5322876,22:52:09,
5.319916,-3.2704773,-3.327942,22:52:09,
7.45076,0.0095825195,-3.2130127,22:52:09,
5.851425,-1.9680328,-4.7884064,22:52:10,
8.652649,-4.4532166,-4.936844,22:52:10,
8.346191,-4.3095703,-4.9990997,22:52:10,
7.86734,-3.4141388,-4.673477,22:52:10,
7.8098907,-3.3375244,-4.960785,22:52:11,
8.054092,-3.5194702,-5.205002,22:52:11,
7.479492,-3.0406342,-4.692642,22:52:11,
8.216904,-3.083725,-4.6351776,22:52:11,
8.231262,-3.3423004,-4.3622284,22:52:12,
8.020569,-3.1699219,-4.4053345,22:52:12,
7.9870605,-3.289627,-4.3813934,22:52:12,
8.106766,-3.2082367,-4.352661,22:52:12,
8.073242,-3.2273865,-4.3143463,22:52:13,
8.192963,-3.2992096,-4.266464,22:52:13,
8.446747,-3.1316223,-4.213791,22:52:13,
8.216904,-3.533844,-4.266464,22:52:13,
8.5520935,-3.2369537,-4.553772,22:52:14,
7.9822693,-3.2034454,-4.5010986,22:52:14,
8.034943,-3.26091,-4.4532166,22:52:14,
8.178589,-3.327942,-4.3574524,22:52:14,
7.833832,-3.4141388,-4.34787,22:52:15,
8.015793,-3.2561188,-4.0174713,22:52:15,
8.039734,-3.2369537,-4.1371765,22:52:15,
7.3070984,-2.9161377,-4.003113,22:52:15,
8.20253,-3.672699,-4.1994324,22:52:16,
8.140289,-3.4572296,-4.323929,22:52:16,
8.125916,-3.3375244,-4.218582,22:52:16,
8.231262,-3.308792,-4.2760468,22:52:16,
8.178589,-3.289627,-4.2760468,22:52:17,
8.236053,-3.3806152,-4.299988,22:52:17,
8.221695,-3.4428558,-4.256897,22:52:17,
8.030151,-3.2321777,-3.916916,22:52:17,
6.5361633,-3.7636871,-2.2313995,22:52:18,
2.4803925,-8.599976,-3.289627,22:52:18,
0.17237854,-8.973465,-3.5865173,22:52:18,
-3.5769348,-8.815445,-3.9073334,22:52:19,
-3.7253723,-8.662216,-3.217804,22:52:19,
-3.1890717,-8.815445,-3.3614655,22:52:19,
-3.5482025,-8.882492,-3.0071106,22:52:20,
-3.581726,-8.844177,-2.968811,22:52:20,
-3.4763794,-8.647858,-3.2561188,22:52:20,
-4.4771576,-8.643066,-3.10289,22:52:20,
-3.4763794,-8.604767,-3.2034454,22:52:21,
-2.9257202,-9.864105,-3.6631317,22:52:21,
0.7517853,-9.94072,-0.18196106,22:52:21,
1.2402039,-7.522583,-0.52194214,22:52:22,
1.3790588,-9.399643,1.0007782,22:52:22,
1.3934326,-9.88327,0.7805023,22:52:23,
1.7381897,-9.782715,1.3790588,22:52:23,
0.94810486,-9.840164,0.9241638,22:52:23,
1.2354126,-9.988617,0.47883606,22:52:24,
1.2737122,-4.9990997,0.42138672,22:52:24,
2.4133606,-8.614334,0.62249756,22:52:24,
0.04309082,-8.312668,4.2233734,22:52:25,
2.8251648,-7.1921844,5.4013214,22:52:25,
5.276825,-6.1914062,5.5880737,22:52:25,
5.3582306,-5.9902954,5.71257,22:52:26,
5.0661316,-5.578491,5.372589,22:52:26,
5.3821716,-6.033386,5.3773804,22:52:26,
5.4061127,-6.004654,5.3342743,22:52:26,
5.4731445,-5.640747,5.841858,22:52:27,
5.348648,-6.023819,5.228943,22:52:27,
5.1331635,-6.8091125,4.5202484,22:52:27,
5.4300537,-5.9711456,5.372589,22:52:27,
5.023041,-5.2672424,6.1004333,22:52:28,
6.200989,-3.1603394,7.364563,22:52:28,
6.6750336,-5.612015,7.3932953,22:52:28,
2.149994,-4.9224854,3.509903,22:52:28,
3.3470917,-3.6870728,7.8912964,22:52:29,
1.5897522,-5.501877,6.79953,22:52:29,
3.8642426,-5.693405,7.1730347,22:52:29,
3.5625763,-5.23851,7.278366,22:52:29,
2.2792816,-3.9935303,3.8642426,22:52:30,
3.485962,-5.205002,7.297531,22:52:30,
3.485962,-5.205002,7.297531,22:52:30,
4.419693,-6.8330536,5.5737,22:52:31,
3.897766,-7.1730347,4.855438,22:52:31,
4.2281647,-7.5369415,4.3622284,22:52:31,
4.730942,-7.3358307,4.467575,22:52:31,
4.601654,-6.8761444,5.2002106,22:52:32,
5.228943,-6.593628,5.1331635,22:52:32,
5.08049,-6.497864,5.2480927,22:52:32,
5.2720337,-6.598419,4.960785,22:52:32,
5.1283875,-6.727707,4.9272614,22:52:33,
5.118805,-6.7612305,4.9464264,22:52:33,
5.023041,-6.325485,5.487503,22:52:33,
5.4731445,-3.9600067,7.2640076,22:52:33,
6.186615,-3.5242615,7.613556,22:52:34,
6.6989746,-3.8115692,4.850647,22:52:34,
4.467575,-3.7110138,7.11557,22:52:34,
4.003113,-6.789963,6.1339417,22:52:35,
5.1618958,-5.190628,6.411667,22:52:35,
4.003113,-5.8610077,6.7181244,22:52:35,
4.1371765,-5.439621,6.617569,22:52:35,
5.8993073,-4.9799347,6.0812683,22:52:36,
6.569687,-4.515457,5.612015,22:52:36,
6.521805,-4.4532166,5.5880737,22:52:36,
6.5313873,-5.1140137,5.1810455,22:52:36,
6.95755,-4.1850586,5.9184723,22:52:37,
7.1059875,-3.7541046,5.669464,22:52:37,
6.9384003,-4.4484253,5.477936,22:52:37,
5.5832825,-4.4532166,5.985504,22:52:37,
6.3542175,-4.5489807,6.0812683,22:52:38,
6.995865,-4.2233734,5.5880737,22:52:38,
6.909668,-4.122818,5.597641,22:52:38,
6.885727,-4.141968,5.5689087,22:52:38,
6.885727,-4.141968,5.5689087,22:52:39,
6.847412,-4.1132355,5.5210266,22:52:39,
6.837845,-4.1180267,5.5162354,22:52:39,
6.837845,-4.1180267,5.5162354,22:52:39,
6.9288177,-4.103668,5.5162354,22:52:40,
6.9384003,-4.1563416,5.482727,22:52:40,
6.9910736,-4.03183,5.530609,22:52:40,
6.8522034,-4.2089996,5.420471,22:52:40,
7.005432,-4.0940857,5.5210266,22:52:41,
7.0150146,-4.165909,5.4252625,22:52:41,
6.95755,-4.1515503,5.4731445,22:52:41,
6.890518,-4.1371765,5.487503,22:52:41,
6.9431915,-4.1802826,5.444412,22:52:42,
7.067688,-4.1563416,5.439621,22:52:42,
6.9767,-4.1515503,5.3869476,22:52:42,
7.139511,-3.9600067,5.5162354,22:52:42,
7.1299286,-4.1802826,5.3630066,22:52:43,
7.340622,-3.9121246,5.4013214,22:52:43,
7.0581055,-4.079727,5.530609,22:52:43,
7.0102234,-3.8929749,5.4922943,22:52:43,
6.9910736,-4.0653534,5.4252625,22:52:44,
7.11557,-3.9695892,5.4013214,22:52:44,
7.0772552,-4.01268,5.4061127,22:52:44,
7.2017517,-3.8450928,5.4013214,22:52:44,
7.158661,-3.9839478,5.4061127,22:52:45,
7.0772552,-3.9983215,5.3773804,22:52:45,
7.11557,-3.964798,5.372589,22:52:45,
7.27359,-3.897766,5.2959747,22:52:45,
7.1730347,-3.9264984,5.3103333,22:52:46,
7.182602,-3.9935303,5.3390656,22:52:46,
7.13472,-3.9935303,5.3773804,22:52:46,
7.158661,-3.9791565,5.3582306,22:52:46,
7.1251373,-3.9791565,5.3294983,22:52:47,
7.2209167,-3.902542,5.367798,22:52:47,
7.139511,-4.0222626,5.348648,22:52:47,
7.0341644,-4.0940857,5.463562,22:52:47,
7.110779,-3.9073334,5.41568,22:52:48,
7.1059875,-3.9360657,5.420471,22:52:48,
7.053314,-3.9983215,5.439621,22:52:48,
7.0628967,-3.830719,5.4731445,22:52:48,
7.1490936,-3.8403015,5.4061127,22:52:49,
7.1538696,-3.9360657,5.3630066,22:52:49,
7.158661,-3.964798,5.286392,22:52:49,
7.2352753,-3.8403015,5.420471,22:52:49,
7.0772552,-3.8881836,5.420471,22:52:50,
7.5848236,-3.9935303,5.075714,22:52:50,
7.1969757,-3.8642426,5.482727,22:52:50,
7.249649,-3.7780457,5.324707,22:52:50,
7.048523,-3.9121246,5.3869476,22:52:51,
7.340622,-3.672699,5.3630066,22:52:51,
7.1921844,-3.7541046,5.4300537,22:52:51,
7.297531,-3.739746,5.286392,22:52:51,
7.029373,-4.003113,5.228943,22:52:52,
7.254425,-3.648758,5.276825,22:52:52,
7.340622,-3.7253723,5.2672424,22:52:52,
7.230484,-3.7924194,5.300766,22:52:52,
7.187393,-3.7493134,5.3773804,22:52:53,
7.249649,-3.8019867,5.324707,22:52:53,
7.278366,-3.7588959,5.3390656,22:52:53,
7.297531,-3.7972107,5.300766,22:52:53,
7.5800476,-3.9504395,5.1379547,22:52:54,
7.6518707,-3.806778,5.008667,22:52:54,
7.4890594,-3.7349548,5.1092224,22:52:54,
7.3693542,-3.5865173,5.434845,22:52:54,
7.1969757,-3.672699,5.5449677,22:52:55,
7.345413,-3.643982,5.343857,22:52:55,
7.4459686,-3.7062225,5.4108887,22:52:55,
7.230484,-3.7349548,5.41568,22:52:55,
6.732498,-3.940857,5.693405,22:52:56,
6.895294,-4.0174713,5.5641174,22:52:56,
6.7612305,-4.103668,5.7460785,22:52:56,
