angleX,angleY,angleZ,Time
-0.7086792,-8.810669,-4.2473145,23:02:23
-0.7565613,-8.825027,-4.261673,23:02:23
-0.8571167,-8.801086,-4.3191376,23:02:23
-0.7948761,-8.820236,-4.2473145,23:02:23
-0.8236084,-8.911224,-4.232956,23:02:24
-0.7852936,-8.85376,-4.2521057,23:02:24
-0.6368561,-8.901642,-4.1850586,23:02:24
-1.177948,-9.619904,-3.1842957,23:02:25
-0.24420166,-9.03093,-0.96725464,23:02:25
0.8379669,-9.064453,0.12928772,23:02:25
1.8291626,-9.2799225,1.3647003,23:02:25
2.1787262,-9.878479,1.632843,23:02:26
1.948883,-9.476257,0.9911957,23:02:26
2.039856,-9.643845,1.6041107,23:02:26
2.1691437,-9.514557,1.6280518,23:02:26
2.059021,-9.471466,1.2689209,23:02:27
2.063797,-9.538498,1.498764,23:02:27
2.0302887,-9.552872,1.3215942,23:02:27
1.8914185,-9.58638,1.1587982,23:02:27
1.766922,-9.485825,1.1061249,23:02:28
1.2354126,-7.1921844,0.5985565,23:02:28
1.6903076,-8.279144,0.7661438,23:02:28
2.6432037,-9.18895,2.3032227,23:02:28
1.8962097,-8.896851,5.846634,23:02:29
3.2465363,-6.727707,8.920792,23:02:29
3.916916,-6.9431915,5.324707,23:02:29
4.055771,-6.2632294,6.023819,23:02:30
4.2712555,-5.55455,6.22493,23:02:30
5.7413025,-4.553772,6.981491,23:02:30
5.683838,-4.515457,6.81868,23:02:30
5.1762695,-6.1530914,5.5162354,23:02:31
5.1379547,-6.3589935,5.3294983,23:02:31
5.482727,-6.526596,4.8171387,23:02:31
5.640747,-6.3973083,4.9464264,23:02:31
5.640747,-6.3973083,4.9464264,23:02:32
5.482727,-6.4451904,4.9224854,23:02:32
5.5737,-6.411667,4.893753,23:02:32
5.530609,-6.3973083,4.941635,23:02:32
5.4922943,-6.1578827,5.209778,23:02:33
5.4922943,-6.1578827,5.209778,23:02:33
5.6024323,-6.2440796,5.051773,23:02:33
5.635956,-6.2153473,5.0373993,23:02:33
5.683838,-6.186615,5.0134583,23:02:34
5.669464,-6.200989,5.0134583,23:02:34
5.779602,-5.1140137,6.0621185,23:02:34
5.3773804,-5.118805,6.2871704,23:02:34
6.2632294,-4.7500916,6.454773,23:02:35
4.534622,-9.442734,5.104431,23:02:35
2.561798,-4.395752,3.2034454,23:02:35
2.7341766,-5.779602,7.8098907,23:02:35
3.055008,-5.4683533,7.278366,23:02:36
5.118805,-5.1379547,6.933609,23:02:36
4.6112366,-4.802765,7.187393,23:02:36
4.649536,-5.046982,7.053314,23:02:36
4.82193,-4.9559937,6.9862823,23:02:37
4.7261505,-4.888962,6.9719086,23:02:37
4.7884064,-4.893753,6.9910736,23:02:37
4.759674,-4.1994324,7.3262634,23:02:37
3.8115692,-4.036621,6.6750336,23:02:38
3.327942,-5.252884,6.4499817,23:02:38
3.7541046,-8.384491,5.8322754,23:02:38
6.028595,-3.6870728,6.46434,23:02:38
6.028595,-3.7445374,6.8282623,23:02:39
5.8322754,-4.0653534,6.6894073,23:02:39
5.669464,-5.2433014,5.88974,23:02:39
5.5737,-5.865799,5.367798,23:02:39
5.640747,-6.2440796,5.023041,23:02:40
5.5928497,-6.2871704,4.936844,23:02:40
5.549759,-6.4451904,4.783615,23:02:40
5.6024323,-6.4739227,4.754883,23:02:40
5.6790466,-6.3494263,4.7979736,23:02:41
5.71257,-6.3350525,4.82193,23:02:41
5.6981964,-6.344635,4.82193,23:02:41
5.707779,-6.344635,4.8123474,23:02:41
5.6742554,-6.3589935,4.802765,23:02:42
5.659897,-6.3589935,4.826706,23:02:42
5.669464,-6.344635,4.8841705,23:02:42
5.5832825,-6.1770477,4.989517,23:02:42
5.3390656,-4.9751587,6.5648956,23:02:43
5.2720337,-5.0373993,6.459549,23:02:43
5.434845,-5.286392,6.732498,23:02:43
3.7876282,-8.877701,4.826706,23:02:43
1.4173737,-6.4691315,4.577713,23:02:44
4.007889,-6.5361633,4.443634,23:02:44
3.5721436,-3.8881836,7.498642,23:02:44
4.050995,-3.289627,8.12114,23:02:44
3.5625763,-3.375824,8.398865,23:02:45
4.5825043,-2.9544525,8.135498,23:02:45
4.34787,-3.1363983,8.130707,23:02:45
4.4484253,-2.810791,8.188171,23:02:45
4.644745,-2.7485504,8.154648,23:02:46
4.7213593,-2.5857391,8.044525,23:02:46
4.9033203,-2.5426483,7.991852,23:02:46
4.668701,-2.5570068,8.178589,23:02:46
4.6591187,-2.5282745,8.216904,23:02:47
4.7213593,-2.5187073,8.178589,23:02:47
4.697418,-2.5091248,8.18338,23:02:47
4.783615,-2.47081,8.250412,23:02:47
4.7405243,-2.4803925,8.16423,23:02:48
4.7453156,-2.5330658,8.159439,23:02:48
4.5202484,-2.6575623,8.216904,23:02:48
4.7644653,-2.3223724,8.216904,23:02:48
4.735733,-2.5234833,8.145081,23:02:49
4.644745,-2.5091248,8.140289,23:02:49
4.620804,-2.5187073,8.178589,23:02:49
4.754883,-2.5282745,8.169022,23:02:49
4.6351776,-2.4756012,8.192963,23:02:50
4.5394135,-2.5665894,8.240845,23:02:50
4.577713,-2.5665894,8.159439,23:02:50
4.7405243,-2.561798,8.159439,23:02:50
4.7261505,-2.4803925,8.140289,23:02:51
4.673477,-2.513916,8.149857,23:02:51
4.692642,-2.5091248,8.197754,23:02:51
4.697418,-2.4995422,8.149857,23:02:51
4.7213593,-2.537857,8.169022,23:02:52
4.620804,-2.537857,8.178589,23:02:52
4.697418,-2.489975,8.173798,23:02:52
4.692642,-2.513916,8.149857,23:02:52
4.7453156,-2.4995422,8.130707,23:02:53
4.687851,-2.489975,8.16423,23:02:53
4.687851,-2.5522156,8.169022,23:02:53
4.620804,-2.3654785,8.097183,23:02:53
5.0134583,-2.62883,7.972687,23:02:54
4.6591187,-2.5282745,8.216904,23:02:54
4.7213593,-2.5187073,8.178589,23:02:54
4.697418,-2.5091248,8.18338,23:02:55
4.783615,-2.47081,8.250412,23:02:55
4.7405243,-2.4803925,8.16423,23:02:55
4.7453156,-2.5330658,8.159439,23:02:55
4.5202484,-2.6575623,8.216904,23:02:56
4.7644653,-2.3223724,8.216904,23:02:56
4.735733,-2.5234833,8.145081,23:02:56
4.644745,-2.5091248,8.140289,23:02:57
4.620804,-2.5187073,8.178589,23:02:57
4.754883,-2.5282745,8.169022,23:02:57
4.6351776,-2.4756012,8.192963,23:02:57
4.5394135,-2.5665894,8.240845,23:02:58
4.577713,-2.5665894,8.159439,23:02:58
4.7405243,-2.561798,8.159439,23:02:58
4.7261505,-2.4803925,8.140289,23:02:58
4.673477,-2.513916,8.149857,23:02:59
4.692642,-2.5091248,8.197754,23:02:59
4.697418,-2.4995422,8.149857,23:02:59
4.7213593,-2.537857,8.169022,23:02:59
4.620804,-2.537857,8.178589,23:03:00
4.697418,-2.489975,8.173798,23:03:00
4.692642,-2.513916,8.149857,23:03:00
4.7453156,-2.4995422,8.130707,23:03:00
4.687851,-2.489975,8.16423,23:03:01
4.687851,-2.5522156,8.169022,23:03:01
4.620804,-2.3654785,8.097183,23:03:01
4.620804,-2.537857,8.178589,23:03:01
4.697418,-2.489975,8.173798,23:03:02
4.692642,-2.513916,8.149857,23:03:02
4.7453156,-2.4995422,8.130707,23:03:02
4.687851,-2.489975,8.16423,23:03:02
4.687851,-2.5522156,8.169022,23:03:03
